NAME,state,county,block,tract,GEOID20,Pre K (Ages 0-5),Elementary (Ages 6-12),Teenage (Ages 13-18),18 and younger,Young Adult (Ages 19-29),Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,Ages 55+,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - Pre K (Ages 0-5),Pop. Density - Elementary (Ages 6-12),Pop. Density - Teenage (Ages 13-18),Pop. Density - 18 and younger,Pop. Density - Young Adult (Ages 19-29),Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Ages 55+,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - White,Pop. Density - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 1020, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1020,001705,080770017051020,3,1,4,8,2,4,18,7,0,5,3,11,47,8,22,2,7,47,38,9,47,38,0,0,0,0,6,3,3,0,31708.0,0.0,0.0122424588,3839.1,245.0,81.7,326.7,653.5,163.4,326.7,1470.3,571.8,0.0,408.4,245.0,898.5,3839.1,653.5,1797.0,163.4,571.8,3104.0,735.1,3839.1,3104.0,0.0,0.0,0.0,0.0,490.1,245.0
"Block 1017, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1017,001705,080770017051017,4,7,12,23,5,7,14,3,6,1,0,10,59,21,19,4,6,59,52,7,59,42,1,0,0,0,0,16,16,3,23107.0,0.0,0.0089216127,6613.2,448.3,784.6,1345.0,2578.0,560.4,784.6,1569.2,336.3,672.5,112.1,0.0,1120.9,6613.2,2353.8,2129.7,448.3,672.5,5828.5,784.6,6613.2,4707.7,112.1,0.0,0.0,0.0,0.0,1793.4
"Block 1021, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1021,001705,080770017051021,5,9,9,23,18,17,8,7,14,5,0,24,92,23,42,16,16,92,89,3,92,89,0,1,0,0,0,2,2,0,42788.0,0.0,0.0165204468,5568.9,302.7,544.8,544.8,1392.2,1089.6,1029.0,484.2,423.7,847.4,302.7,0.0,1452.7,5568.9,1392.2,2542.3,968.5,968.5,5387.3,181.6,5568.9,5387.3,0.0,60.5,0.0,0.0,0.0,121.1
"Block 1022, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1022,001705,080770017051022,0,0,0,0,1,1,1,0,0,7,0,7,10,0,5,0,2,10,9,1,10,6,0,0,0,0,0,4,4,0,38001.0,0.0,0.0146721861,681.6,0.0,0.0,0.0,0.0,68.2,68.2,68.2,0.0,0.0,477.1,0.0,477.1,681.6,0.0,340.8,0.0,136.3,613.4,68.2,681.6,408.9,0.0,0.0,0.0,0.0,0.0,272.6
"Block 1023, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1023,001705,080770017051023,1,3,2,6,2,5,5,2,4,2,3,11,29,5,12,5,2,29,20,9,29,15,3,4,1,0,0,6,6,0,7361.0,0.0,0.0028420821,10203.8,351.9,1055.6,703.7,2111.1,703.7,1759.3,1759.3,703.7,1407.4,703.7,1055.6,3870.4,10203.8,1759.3,4222.3,1759.3,703.7,7037.1,3166.7,10203.8,5277.8,1055.6,1407.4,351.9,0.0,0.0,2111.1
"Block 1024, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1024,001705,080770017051024,4,2,3,9,10,5,2,2,5,4,0,11,37,8,11,5,0,37,28,9,37,24,0,1,1,0,5,6,6,0,7909.0,0.0,0.0030536649,12116.6,1309.9,655.0,982.4,2947.3,3274.8,1637.4,655.0,655.0,1637.4,1309.9,0.0,3602.2,12116.6,2619.8,3602.2,1637.4,0.0,9169.3,2947.3,12116.6,7859.4,0.0,327.5,327.5,0.0,1637.4,1964.9
"Block 1025, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1025,001705,080770017051025,3,3,4,10,2,0,1,1,2,5,0,7,21,10,8,2,2,21,20,1,21,18,0,1,0,0,0,2,2,0,16086.0,0.0,0.0062108046,3381.2,483.0,483.0,644.0,1610.1,322.0,0.0,161.0,161.0,322.0,805.0,0.0,1127.1,3381.2,1610.1,1288.1,322.0,322.0,3220.2,161.0,3381.2,2898.2,0.0,161.0,0.0,0.0,0.0,322.0
"Block 1026, Block Group 1, Census Tract 17.05, Mesa County, Colorado",08,077,1026,001705,080770017051026,6,2,0,8,3,2,0,0,1,0,0,1,14,8,3,3,0,14,8,6,14,4,3,0,0,0,0,7,7,0,6098.0,0.0,0.0023544378,5946.2,2548.4,849.5,0.0,3397.8,1274.2,849.5,0.0,0.0,424.7,0.0,0.0,424.7,5946.2,3397.8,1274.2,1274.2,0.0,3397.8,2548.4,5946.2,1698.9,1274.2,0.0,0.0,0.0,0.0,2973.1
"Block 2000, Block Group 2, Census Tract 17.05, Mesa County, Colorado",08,077,2000,001705,080770017052000,6,1,2,9,8,4,0,6,1,2,0,9,30,9,10,8,1,30,26,4,30,22,0,0,0,0,4,4,4,0,33636.0,0.0,0.0129868596,2310.0,462.0,77.0,154.0,693.0,616.0,308.0,0.0,462.0,77.0,154.0,0.0,693.0,2310.0,693.0,770.0,616.0,77.0,2002.0,308.0,2310.0,1694.0,0.0,0.0,0.0,0.0,308.0,308.0
"Block 2001, Block Group 2, Census Tract 17.05, Mesa County, Colorado",08,077,2001,001705,080770017052001,0,2,2,4,6,0,2,1,0,4,0,4,17,4,7,3,2,17,12,5,17,8,0,1,2,0,0,6,6,0,113404.0,0.0,0.0437852844,388.3,0.0,45.7,45.7,91.4,137.0,0.0,45.7,22.8,0.0,91.4,0.0,91.4,388.3,91.4,159.9,68.5,45.7,274.1,114.2,388.3,182.7,0.0,22.8,45.7,0.0,0.0,137.0
