NAME,Total Population,Total Population Under 18,Total Households,Households w/ One or More Under 18,Households w/ One or More 65 and Over,Total Population - For Hispanic or Latino,Total Population Non-Hispanic or Latino,Total Population Hispanic or Latino,Total Population Race,Total Population - White,Total Population - Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Some Other Race,Two or More Races - P3 Table,Two or More Races,Female ages something,state,county,tract,block,GEOID20,18 and younger,Ages 19-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80 and older,ALAND20,AWATER20,total_sq_miles,Pop. Density,Pop. Density - 18 and younger,Pop. Density - Ages 30-39,Pop. Density - Ages 40-49,Pop. Density - Ages 50-59,Pop. Density - Ages 60-69,Pop. Density - Ages 70-79,Pop. Density - Ages 80 and older,Pop. Density - Total Population,Pop. Density - Total Population Under 18,Pop. Density - Total Households,Pop. Density - Households w/ One or More Under 18,Pop. Density - Households w/ One or More 65 and Over,Pop. Density - Total Population Non-Hispanic or Latino,Pop. Density - Total Population Hispanic or Latino,Pop. Density - Total Population Race,Pop. Density - Total Population - White,Pop. Density - Total Population - Black or African American,Pop. Density - American Indian or Alaska Native,Pop. Density - Asian,Pop. Density - Native Hawaiian or Other Pacific Islander,Pop. Density - Some Other Race,Pop. Density - Two or More Races
"Block 2042, Block Group 2, Census Tract 43.10, Denver County, Colorado",26,4,14,0,13,26,26,0,26,26,0,0,0,0,0,0,0,0,08,031,004310,2042,080310043102042,4,6,6,7,3,0,0,0,13263,0,0.0051208443,5077.3,781.1,1171.7,1367.0,585.8,0.0,0.0,0.0,5077.3,781.1,2733.9,0.0,2538.6,5077.3,0.0,5077.3,5077.3,0.0,0.0,0.0,0.0,0.0,0.0
"Block 2039, Block Group 2, Census Tract 43.10, Denver County, Colorado",29,2,13,5,3,29,23,6,29,26,0,0,0,0,0,3,3,0,08,031,004310,2039,080310043102039,2,8,7,1,2,6,0,3,13741,0,0.0053054001,5466.1,377.0,1319.4,188.5,377.0,1130.9,0.0,565.5,5466.1,377.0,2450.3,942.4,565.5,4335.2,1130.9,5466.1,4900.7,0.0,0.0,0.0,0.0,0.0,565.5
"Block 2040, Block Group 2, Census Tract 43.10, Denver County, Colorado",39,17,10,3,4,39,36,3,39,27,0,0,2,0,1,9,9,1,08,031,004310,2040,080310043102040,17,3,2,7,3,6,0,1,13895,0,0.0053648595,7269.5,3168.8,372.8,1304.8,559.2,1118.4,0.0,186.4,7269.5,3168.8,1864.0,559.2,745.6,6710.3,559.2,7269.5,5032.8,0.0,0.0,372.8,0.0,186.4,1677.6
"Block 2041, Block Group 2, Census Tract 43.10, Denver County, Colorado",32,6,11,3,5,32,29,3,32,30,0,0,0,0,0,2,2,0,08,031,004310,2041,080310043102041,6,2,5,7,12,0,0,0,13248,0,0.0051150527999999995,6256.0,1173.0,977.5,1368.5,2346.0,0.0,0.0,0.0,6256.0,1173.0,2150.5,586.5,977.5,5669.5,586.5,6256.0,5865.0,0.0,0.0,0.0,0.0,0.0,391.0
"Block 2043, Block Group 2, Census Tract 43.10, Denver County, Colorado",43,15,19,5,6,43,42,1,43,37,2,0,0,0,1,3,3,0,08,031,004310,2043,080310043102043,15,2,9,6,4,0,6,1,14092,0,0.0054409212,7903.1,2756.9,1654.1,1102.8,735.2,0.0,1102.8,183.8,7903.1,2756.9,3492.1,919.0,1102.8,7719.3,183.8,7903.1,6800.3,367.6,0.0,0.0,0.0,183.8,551.4
"Block 2044, Block Group 2, Census Tract 43.10, Denver County, Colorado",16,1,13,5,3,16,13,3,16,12,2,0,0,0,0,2,2,0,08,031,004310,2044,080310043102044,1,0,0,0,1,9,3,2,13867,0,0.0053540487,2988.4,186.8,0.0,0.0,186.8,1681.0,560.3,373.5,2988.4,186.8,2428.1,933.9,560.3,2428.1,560.3,2988.4,2241.3,373.5,0.0,0.0,0.0,0.0,373.5
"Block 2045, Block Group 2, Census Tract 43.10, Denver County, Colorado",23,2,13,3,2,23,23,0,23,20,1,0,1,0,0,1,1,0,08,031,004310,2045,080310043102045,2,1,0,15,4,1,0,0,13485,0,0.0052065585,4417.5,384.1,0.0,2881.0,768.3,192.1,0.0,0.0,4417.5,384.1,2496.9,576.2,384.1,4417.5,0.0,4417.5,3841.3,192.1,0.0,192.1,0.0,0.0,192.1
"Block 2046, Block Group 2, Census Tract 43.10, Denver County, Colorado",18,5,7,4,2,18,15,3,18,13,1,0,0,0,0,4,4,0,08,031,004310,2046,080310043102046,5,2,7,0,0,1,0,3,12940,0,0.004996134,3602.8,1000.8,1401.1,0.0,0.0,200.2,0.0,600.5,3602.8,1000.8,1401.1,800.6,400.3,3002.3,600.5,3602.8,2602.0,200.2,0.0,0.0,0.0,0.0,800.6
"Block 2047, Block Group 2, Census Tract 43.10, Denver County, Colorado",26,2,9,4,1,26,21,5,26,21,1,0,0,0,3,1,1,0,08,031,004310,2047,080310043102047,2,13,2,5,4,2,0,1,14277,0,0.0055123496999999995,4716.7,362.8,362.8,907.1,725.6,362.8,0.0,181.4,4716.7,362.8,1632.7,725.6,181.4,3809.6,907.1,4716.7,3809.6,181.4,0.0,0.0,0.0,544.2,181.4
"Block 2048, Block Group 2, Census Tract 43.10, Denver County, Colorado",23,1,13,4,0,23,22,1,23,19,0,0,0,0,1,3,3,0,08,031,004310,2048,080310043102048,1,5,11,1,4,1,0,0,13424,0,0.0051830064,4437.6,192.9,2122.3,192.9,771.8,192.9,0.0,0.0,4437.6,192.9,2508.2,771.8,0.0,4244.6,192.9,4437.6,3665.8,0.0,0.0,0.0,0.0,192.9,578.8
